ID,Label,Valor
181,Puertos USB,4
181,Bandas de radiofrecuencia,2.4 GHz
181,Asistente de voz,Google Assistant
181,Uso sugerido,Interiores
181,App para manejo,NEXXT HOME
181,Compatible con,Android
181,Número de tomacorrientes,4
201,Conectividad,Wi-Fi
201,Dimensiones,Abierto: 37.5 cm x 56.7 cm x 25.9 cm y Cerrado: 37.5 cm x 34.7 cm x 18.7 cm (ancho x profundidad x alto)
201,Compatibilidad,Multiplataforma
201,Máximo hojas impresas a color," 6000 pu00e1ginas (botellas de color cian T504220-AL, magenta T5044320-AL, amarillo T504420-AL)"
201,Máximo hojas impresas a negro,7500 pu00e1ginas (botella de tinta negra T504120-AL)
201,Ciclo de vida mensual,Hasta 3000 pu00e1ginas
201,Velocidad de impresión a color,15 ppm
201,Velocidad de impresión a negro,33 ppm 
201,ADF,No
201,Escanea hojas tamaño oficio,No
201,Resolución de impresión,Hasta 5760 x 1440 dpi de resoluciu00f3n optimizada en varios tipos de papel 
201,Incluye tinta tricolor,Yes
201,Incluye tinta negra,Yes
221,Micrófono Integrado,Si
221,NFC,No
221,Peso,6.1g (por audífono) y 60g (estuche de carga)
221,Tiempo de garantía,1 año
221,Resistente al agua,No
221,Tipo de audífono,In Ear
221,Noise Cancelling,Si
221,Opción cable auxiliar,No
221,Duración de batería,6 hrs + 16hrs con estuche de carga
221,Clasificación IP,IPX2
241,Micrófono Integrado,Si
241,NFC,No
241,Peso,5.5g (por auricular) y 36.5g (estuche de carga)
241,Tiempo de garantía,1 año
241,Resistente al agua,No
241,Tipo de audífono,In Ear
241,Noise Cancelling,Si
241,Opción cable auxiliar,N/A
241,Duración de batería,10 horas
241,Clasificación IP,IPX2
242,Micrófono Integrado,Si
242,NFC,No
242,Peso,5.5g (por auricular) y 36.5g (estuche de carga)
242,Tiempo de garantía,1 año
242,Resistente al agua,No
242,Tipo de audífono,In Ear
242,Noise Cancelling,Si
242,Opción cable auxiliar,No
242,Duración de batería,10 horas
242,Clasificación IP,IPX2
243,Micrófono Integrado,Su00ed
243,NFC,No
243,Peso,260g
243,Tiempo de garantía,1 año
243,Resistente al agua,No
243,Tipo de audífono,Over Ear
243,Noise Cancelling,Si
243,Opción cable auxiliar,No
243,Duración de batería,24 hrs
243,Clasificación IP,IPX2
244,Micrófono Integrado,Su00ed
244,NFC,No
244,Peso,260g
244,Tiempo de garantía,1 año
244,Resistente al agua,No
244,Tipo de audífono,Over Ear
244,Noise Cancelling,Si
244,Opción cable auxiliar,No
244,Duración de batería,24
244,Clasificación IP,IPX2
263,Micrófono Integrado,Si
263,NFC,No
263,Peso,16.2g
263,Tiempo de garantía,1 año
263,Resistente al agua,No
263,Tipo de audífono,In Ear
263,Noise Cancelling,No
263,Opción cable auxiliar,No
263,Duración de batería,6 hrs
263,Clasificación IP,IPX2
301,Micrófono Integrado,Si
301,NFC,No
301,Peso,40g
301,Tiempo de garantía,1 año
301,Resistente al agua,No
301,Tipo de audífono,In Ear
301,Noise Cancelling,N/A
301,Opción cable auxiliar,No
301,Duración de batería,5 hrs + 19 hrs con estuche de carga 
301,Clasificación IP,IPX2
302,Tamaño de pantalla,"15.6"""
302,Ancho,35.9
302,Profundidad (cm),2.49
302,Alto (cm),24.9
302,Capacidad de memoria RAM,8 GB
302,Almacenamiento,1 TB
302,Sistema Operativo,Windows 10
302,Peso,"2,2 kg"
302,Procesador,Intel Core i7
302,Tiempo de garantía,3 años
302,Tarjeta de video,Nvidia GeForce GTX 1650 Ti
302,Color de iluminación,Multicolor
321,Tamaño de pantalla,"15.6"""
321,Ancho,39.0
321,Profundidad (cm),26.6
321,Alto (cm),26.7
321,Capacidad de memoria RAM,8 GB
321,Almacenamiento,256 GB
321,Sistema Operativo,Windows 10
321,Peso,2.5kg
321,Procesador,Intel Core i5
321,Tiempo de garantía,1 año
321,Tarjeta de video,Nvidia GTX1650
321,Color de iluminación,Multicolor
341,Tamaño de pantalla,"15.6"""
341,Ancho,39.6
341,Profundidad (cm),26.7
341,Alto (cm),26.6
